[0.476, 13.667, 9.667, 0.803];[0.444, 11.667, 7.667, 0.728];[0, 1];
[0.538, 19.667, 10.333, 0.838];[0.415, 14.667, 10.0, 0.731];[1, 0];
[0.442, 12.333, 10.0, 0.877];[0.427, 13.333, 14.667, 0.87];[0, 1];
[0.447, 10.667, 10.667, 0.743];[0.491, 11.333, 12.333, 0.819];[1, 0];
[0.479, 12.333, 8.0, 0.758];[0.477, 13.667, 9.333, 0.701];[1, 0];
[0.486, 18.333, 7.333, 0.752];[0.396, 10.333, 10.667, 0.73];[0, 1];
[0.441, 10.667, 10.333, 0.672];[0.454, 13.333, 9.0, 0.835];[1, 0];
[0.478, 16.0, 10.0, 0.75];[0.489, 14.667, 8.667, 0.733];[1, 0];
[0.491, 13.0, 8.0, 0.719];[0.486, 15.333, 10.0, 0.758];[1, 0];
[0.49, 15.0, 9.667, 0.774];[0.494, 14.0, 8.667, 0.74];[0, 1];
[0.483, 13.0, 10.0, 0.777];[0.504, 16.667, 10.0, 0.677];[1, 0];
[0.409, 12.0, 12.333, 0.769];[0.447, 11.0, 10.0, 0.765];[0, 1];
[0.424, 15.667, 10.333, 0.752];[0.45, 13.333, 9.0, 0.852];[1, 0];
[0.515, 12.667, 10.667, 0.77];[0.438, 11.333, 9.333, 0.872];[0, 1];
[0.46, 13.333, 10.333, 0.822];[0.471, 15.667, 11.0, 0.832];[0, 1];
[0.45, 14.0, 10.333, 0.744];[0.444, 14.333, 10.333, 0.774];[1, 0];
[0.507, 12.333, 9.0, 0.77];[0.47, 13.0, 11.0, 0.716];[1, 0];
[0.39, 13.333, 11.667, 0.803];[0.473, 10.0, 11.0, 0.722];[0, 1];
[0.425, 13.667, 10.667, 0.812];[0.428, 19.333, 9.667, 0.74];[1, 0];
[0.498, 12.667, 6.333, 0.841];[0.476, 13.667, 6.333, 0.807];[1, 0];
[0.415, 16.667, 13.0, 0.789];[0.443, 14.333, 10.667, 0.737];[1, 0];
[0.469, 14.0, 7.333, 0.8];[0.404, 14.667, 10.333, 0.764];[1, 0];
[0.464, 14.0, 11.667, 0.844];[0.421, 10.667, 11.0, 0.857];[1, 0];
[0.45, 12.0, 8.667, 0.783];[0.43, 12.0, 10.333, 0.811];[1, 0];
[0.402, 17.667, 10.667, 0.88];[0.489, 12.0, 6.333, 0.806];[0, 1];
[0.417, 13.667, 9.0, 0.861];[0.467, 14.0, 10.667, 0.701];[1, 0];
[0.506, 22.0, 9.0, 0.867];[0.484, 9.0, 11.0, 0.765];[0, 1];
[0.471, 16.0, 7.333, 0.759];[0.393, 12.333, 11.333, 0.787];[1, 0];
[0.488, 9.667, 12.0, 0.832];[0.451, 10.0, 9.333, 0.772];[0, 1];
[0.465, 9.333, 12.667, 0.682];[0.456, 10.667, 8.667, 0.871];[1, 0];
[0.507, 9.333, 7.667, 0.835];[0.473, 10.333, 7.333, 0.643];[1, 0];
[0.511, 14.0, 5.667, 0.74];[0.448, 12.667, 11.0, 0.738];[1, 0];
[0.403, 16.0, 11.667, 0.752];[0.471, 11.333, 8.0, 0.826];[0, 1];
[0.453, 18.333, 7.0, 0.788];[0.452, 14.667, 12.0, 0.67];[0, 1];
[0.474, 13.0, 9.333, 0.812];[0.474, 8.667, 6.0, 0.775];[1, 0];
[0.424, 14.333, 12.0, 0.736];[0.527, 14.0, 8.0, 0.736];[1, 0];
[0.47, 14.0, 8.0, 0.807];[0.44, 13.667, 7.0, 0.783];[0, 1];
[0.445, 14.333, 7.0, 0.713];[0.47, 16.333, 7.333, 0.86];[1, 0];
[0.408, 12.667, 10.0, 0.71];[0.449, 12.0, 10.0, 0.751];[0, 1];
[0.35, 10.667, 9.667, 0.79];[0.448, 14.667, 8.667, 0.808];[0, 1];
[0.473, 10.667, 11.333, 0.703];[0.402, 18.333, 13.667, 0.82];[1, 0];
[0.482, 14.667, 8.667, 0.813];[0.436, 13.333, 11.667, 0.779];[1, 0];
[0.504, 11.0, 8.0, 0.874];[0.41, 14.0, 13.333, 0.894];[1, 0];
[0.418, 13.333, 15.333, 0.734];[0.498, 12.667, 10.0, 0.793];[0, 1];
[0.51, 17.0, 7.333, 0.709];[0.452, 8.333, 9.0, 0.79];[1, 0];
[0.47, 15.333, 8.0, 0.641];[0.537, 16.0, 6.333, 0.806];[0, 1];
[0.485, 12.667, 10.333, 0.685];[0.437, 15.333, 12.667, 0.779];[1, 0];
[0.504, 11.333, 8.333, 0.732];[0.417, 15.333, 12.333, 0.868];[1, 0];
[0.462, 12.0, 11.0, 0.777];[0.498, 11.667, 10.333, 0.772];[1, 0];
[0.447, 8.667, 7.0, 0.821];[0.481, 17.0, 11.0, 0.742];[0, 1];
[0.445, 11.333, 9.333, 0.711];[0.434, 19.0, 12.667, 0.681];[1, 0];
[0.473, 12.333, 11.333, 0.782];[0.448, 17.333, 12.667, 0.746];[0, 1];
[0.518, 16.0, 6.0, 0.818];[0.527, 14.0, 8.0, 0.708];[1, 0];
[0.5, 16.0, 9.333, 0.944];[0.442, 13.0, 11.0, 0.762];[1, 0];
[0.508, 15.667, 9.333, 0.754];[0.526, 10.333, 8.333, 0.552];[0, 1];
[0.448, 11.667, 6.333, 0.827];[0.399, 12.0, 10.333, 0.663];[0, 1];
[0.477, 14.667, 11.0, 0.669];[0.469, 17.667, 7.667, 0.787];[1, 0];
[0.441, 15.667, 14.333, 0.76];[0.46, 10.333, 9.667, 0.902];[1, 0];
[0.492, 16.0, 8.333, 0.749];[0.486, 17.0, 10.667, 0.695];[1, 0];
[0.436, 14.333, 9.667, 0.694];[0.41, 17.0, 8.0, 0.632];[1, 0];
[0.451, 13.333, 10.333, 0.807];[0.465, 20.333, 8.667, 0.736];[1, 0];
[0.475, 16.333, 9.0, 0.806];[0.481, 14.333, 8.667, 0.834];[1, 0];
[0.513, 11.667, 5.0, 0.737];[0.502, 10.333, 8.0, 0.823];[1, 0];
[0.447, 13.667, 14.333, 0.755];[0.441, 16.667, 11.667, 0.696];[0, 1];
[0.468, 12.0, 9.0, 0.683];[0.433, 11.333, 10.333, 0.63];[1, 0];
[0.436, 14.667, 10.0, 0.763];[0.476, 13.0, 10.333, 0.742];[0, 1];
[0.458, 14.333, 10.0, 0.8];[0.448, 13.333, 10.667, 0.721];[1, 0];
[0.473, 17.333, 10.0, 0.769];[0.438, 17.0, 12.333, 0.752];[1, 0];
[0.444, 15.667, 10.667, 0.829];[0.428, 14.667, 10.333, 0.758];[0, 1];
[0.515, 12.667, 8.0, 0.795];[0.485, 10.333, 9.667, 0.817];[1, 0];
[0.457, 12.0, 4.0, 0.781];[0.487, 12.667, 6.0, 0.804];[0, 1];
[0.474, 10.333, 10.667, 0.847];[0.495, 12.333, 8.667, 0.839];[0, 1];
[0.478, 14.0, 10.667, 0.661];[0.461, 15.333, 11.333, 0.753];[1, 0];
[0.444, 12.333, 5.333, 0.757];[0.477, 13.667, 9.0, 0.688];[0, 1];
[0.508, 13.667, 7.667, 0.8];[0.463, 14.0, 12.333, 0.658];[1, 0];
[0.481, 19.0, 7.0, 0.824];[0.378, 19.0, 8.0, 0.778];[0, 1];
[0.462, 13.333, 7.667, 0.785];[0.404, 13.667, 6.333, 0.668];[0, 1];
[0.459, 17.0, 16.0, 0.636];[0.511, 18.0, 10.0, 0.8];[1, 0];
[0.426, 9.667, 11.0, 0.763];[0.454, 8.667, 11.0, 0.743];[0, 1];
[0.479, 10.667, 9.333, 0.771];[0.487, 14.667, 9.333, 0.774];[0, 1];
[0.517, 14.0, 5.333, 0.718];[0.437, 17.333, 14.333, 0.688];[1, 0];
[0.436, 13.667, 12.333, 0.68];[0.464, 12.333, 8.667, 0.786];[0, 1];
[0.498, 17.667, 9.0, 0.736];[0.475, 15.667, 9.0, 0.818];[1, 0];
[0.518, 14.667, 8.333, 0.816];[0.444, 8.0, 8.333, 0.81];[1, 0];
[0.409, 15.0, 8.0, 0.829];[0.451, 14.667, 7.0, 0.824];[0, 1];
[0.439, 15.0, 6.667, 0.847];[0.504, 14.333, 7.333, 0.77];[1, 0];
[0.444, 14.0, 10.667, 0.804];[0.447, 10.667, 12.667, 0.785];[0, 1];
[0.445, 16.0, 7.333, 0.766];[0.444, 16.333, 8.667, 0.722];[1, 0];
[0.519, 16.667, 7.667, 0.77];[0.451, 18.667, 11.333, 0.704];[1, 0];
[0.437, 9.667, 11.0, 0.824];[0.491, 12.0, 10.0, 0.707];[1, 0];
[0.467, 13.333, 9.0, 0.826];[0.484, 13.333, 14.333, 0.795];[0, 1];
[0.422, 12.333, 10.0, 0.816];[0.437, 12.667, 8.0, 0.71];[0, 1];
[0.446, 11.667, 10.667, 0.8];[0.425, 12.0, 6.0, 0.675];[1, 0];
[0.475, 11.667, 10.0, 0.683];[0.465, 14.667, 7.333, 0.8];[1, 0];
[0.482, 14.667, 10.667, 0.813];[0.485, 12.0, 12.333, 0.758];[0, 1];
[0.447, 14.0, 10.0, 0.772];[0.466, 14.333, 9.333, 0.748];[1, 0];
[0.441, 11.333, 11.667, 0.685];[0.423, 13.333, 12.0, 0.773];[1, 0];
[0.454, 13.667, 10.333, 0.837];[0.457, 15.0, 10.333, 0.754];[0, 1];
[0.499, 9.333, 6.667, 0.756];[0.451, 14.667, 11.333, 0.824];[1, 0];
[0.456, 15.333, 14.333, 0.789];[0.458, 13.333, 9.333, 0.807];[0, 1];
[0.462, 8.667, 12.0, 0.815];[0.495, 16.333, 10.333, 0.758];[1, 0];
[0.488, 16.333, 12.0, 0.767];[0.424, 13.667, 12.667, 0.669];[1, 0];
[0.495, 12.667, 10.667, 0.722];[0.466, 10.333, 11.333, 0.838];[1, 0];
[0.47, 14.333, 10.667, 0.778];[0.449, 15.0, 15.0, 0.695];[1, 0];
[0.44, 15.0, 14.333, 0.697];[0.472, 11.667, 10.333, 0.847];[1, 0];
[0.51, 14.333, 6.333, 0.657];[0.561, 14.667, 6.0, 0.743];[1, 0];
[0.444, 13.667, 9.0, 0.826];[0.504, 14.667, 10.333, 0.763];[1, 0];
[0.452, 11.333, 6.667, 0.724];[0.444, 13.333, 8.667, 0.799];[0, 1];
[0.474, 13.0, 10.0, 0.814];[0.448, 15.333, 7.667, 0.804];[1, 0];
[0.464, 16.0, 7.333, 0.652];[0.456, 11.333, 7.0, 0.667];[1, 0];
[0.461, 12.0, 10.667, 0.852];[0.438, 14.333, 12.667, 0.8];[1, 0];
[0.463, 17.0, 11.333, 0.798];[0.46, 17.333, 11.667, 0.793];[1, 0];
[0.473, 18.333, 11.0, 0.846];[0.453, 15.0, 12.333, 0.736];[1, 0];
[0.489, 13.667, 7.333, 0.749];[0.519, 12.0, 9.0, 0.829];[1, 0];
[0.459, 13.333, 7.333, 0.848];[0.428, 12.0, 11.333, 0.767];[0, 1];
[0.485, 20.0, 11.0, 0.816];[0.454, 16.0, 12.333, 0.738];[1, 0];
[0.456, 15.333, 7.0, 0.721];[0.491, 14.0, 9.0, 0.78];[0, 1];
[0.45, 8.333, 9.333, 0.781];[0.447, 13.0, 8.0, 0.727];[0, 1];
[0.439, 16.667, 9.333, 0.802];[0.468, 10.667, 7.667, 0.771];[1, 0];
[0.448, 9.667, 11.0, 0.821];[0.485, 15.0, 11.0, 0.863];[1, 0];
[0.49, 12.667, 10.333, 0.855];[0.418, 15.0, 9.667, 0.807];[0, 1];
